                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 2.3634,                 2.1367,                 2.5109,                0.73104,                0.69271,                0.75405,                0.50317,                 2.6131,                 1.7182,                 2.7414,             0.00070981,             0.00070981,             0.00070981
                     60,                 2.2955,                 2.0644,                 2.4792,                0.77026,                0.69756,                0.75989,                 0.4833,                 2.7117,                 1.8291,                 2.8165,             0.00069331,             0.00069331,             0.00069331
                     61,                 2.2934,                 2.0457,                  2.457,                0.72463,                   0.68,                0.73451,                0.47028,                 2.6833,                 1.8109,                 2.7851,              0.0006768,              0.0006768,              0.0006768
                     62,                  2.286,                 1.9836,                  2.454,                  0.785,                0.71132,                0.77069,                0.50467,                 2.6118,                 1.6765,                 2.7284,              0.0006603,              0.0006603,              0.0006603
                     63,                 2.2583,                 2.0252,                 2.4329,                 0.7957,                0.68418,                0.76913,                0.49917,                 2.6153,                 1.7732,                 2.7812,              0.0006438,              0.0006438,              0.0006438
                     64,                 2.2703,                 1.9754,                 2.4396,                0.80325,                0.70218,                0.76367,                0.50151,                  2.581,                  1.725,                 2.7798,             0.00062729,             0.00062729,             0.00062729
                     65,                 2.2742,                 1.9527,                 2.4483,                0.78968,                0.70096,                 0.7812,                0.50696,                 2.6528,                 1.7078,                 2.7839,             0.00061079,             0.00061079,             0.00061079
                     66,                 2.2835,                 1.9281,                 2.4353,                0.81889,                0.72945,                0.78163,                 0.5076,                 2.6282,                 1.7278,                 2.7332,             0.00059429,             0.00059429,             0.00059429
                     67,                 2.1853,                 1.9673,                 2.3999,                0.74069,                 0.7629,                0.75764,                0.49711,                 2.6324,                 1.7684,                 2.7511,             0.00057778,             0.00057778,             0.00057778
                     68,                 2.2428,                 1.9452,                 2.4344,                0.78828,                0.71501,                0.78494,                0.51971,                 2.6265,                  1.599,                 2.7726,             0.00056128,             0.00056128,             0.00056128
                     69,                 2.2317,                 1.8802,                 2.4266,                0.74073,                0.72729,                0.77119,                0.50945,                 2.6444,                 1.7242,                 2.7509,             0.00054478,             0.00054478,             0.00054478
                     70,                 2.1944,                 1.8823,                 2.4119,                0.70882,                0.76528,                0.77623,                 0.5055,                 2.6739,                 1.6929,                 2.7069,             0.00052827,             0.00052827,             0.00052827
                     71,                 2.2266,                 1.8915,                 2.4092,                 0.8189,                0.69444,                0.76741,                0.48833,                 2.6258,                 1.6991,                 2.6944,             0.00051177,             0.00051177,             0.00051177
                     72,                 2.2117,                 1.8709,                 2.4081,                0.75444,                0.72654,                0.76924,                0.49019,                 2.6065,                 1.7428,                 2.6877,             0.00049527,             0.00049527,             0.00049527
                     73,                  2.146,                 1.8286,                 2.3901,                0.81377,                0.69549,                0.78297,                0.51408,                 2.5646,                 1.6233,                 2.6814,             0.00047876,             0.00047876,             0.00047876
                     74,                 2.1774,                 1.8885,                 2.3815,                0.78154,                0.68865,                0.75708,                0.48482,                 2.5592,                 1.7253,                 2.6837,             0.00046226,             0.00046226,             0.00046226
                     75,                 2.1306,                 1.8078,                  2.358,                0.80074,                0.71426,                0.77896,                0.51524,                 2.6373,                 1.6475,                 2.7419,             0.00044576,             0.00044576,             0.00044576
                     76,                 2.1367,                 1.7796,                 2.3742,                0.83178,                0.68297,                0.78256,                 0.5108,                 2.5981,                 1.6344,                 2.7079,             0.00042925,             0.00042925,             0.00042925
                     77,                 2.1486,                 1.8122,                 2.3782,                0.77454,                0.70673,                0.78762,                0.51437,                 2.6072,                  1.662,                 2.7241,             0.00041275,             0.00041275,             0.00041275
                     78,                 2.0827,                 1.7701,                 2.3243,                0.77892,                0.73074,                0.77887,                0.51582,                 2.5534,                 1.5932,                 2.6784,             0.00039625,             0.00039625,             0.00039625
                     79,                 2.1034,                 1.7926,                 2.3444,                0.81847,                 0.7302,                0.78042,                0.51659,                 2.5622,                  1.572,                 2.6733,             0.00037974,             0.00037974,             0.00037974
                     80,                 2.0938,                 1.7423,                 2.3389,                0.75804,                0.73399,                0.78519,                 0.5073,                 2.5666,                  1.613,                 2.6715,             0.00036324,             0.00036324,             0.00036324
                     81,                 2.0731,                 1.6614,                 2.3329,                0.82074,                0.69596,                0.77923,                0.50505,                 2.5811,                 1.6856,                 2.6727,             0.00034674,             0.00034674,             0.00034674
                     82,                 2.0619,                 1.7526,                  2.325,                0.80147,                0.72103,                0.78374,                   0.51,                 2.5973,                 1.5976,                 2.6808,             0.00033023,             0.00033023,             0.00033023
